order_id,customer_id,product_name,amount,order_date
SO-1001,C001,Laptop Stand,89000,2026-03-20
SO-1002,C002,Monitor 27inch,219000,2026-03-20
SO-1003,C003,Wireless Keyboard,129000,2026-03-20
SO-1004,C004,USB Hub,39000,2026-03-21
SO-1005,C005,Mechanical Keyboard,145000,2026-03-21
SO-1006,C006,Ultrawide Monitor,305000,2026-03-21
SO-1007,C007,Webcam FHD,99000,2026-03-22
SO-1008,C008,Ergonomic Chair,180000,2026-03-22
SO-1009,C009,Gaming Mouse,275000,2026-03-22
SO-1010,C010,SSD 2TB,159000,2026-03-23
SO-1011,C011,Noise Cancel Headset,120000,2026-03-23
SO-1012,C012,Laptop Pro 14,420000,2026-03-23
SO-1013,C013,Desk Mat XL,86000,2026-03-24
SO-1014,C014,Docking Station,132000,2026-03-24
SO-1015,C015,Tablet 11,249000,2026-03-24
